MH,display_name,funcion,category,optimum_group_label,fitness_min,fitness_max,fitness_mean,fitness_std,fitness_median,n_runs,gap_abs_mean,time_mean,CV_pct,IQR
PSO_FCS:O1:5:I1:R6,R6-5L,F1,Unimodal,Optimum = 0,59.458912382466,171.44103340134467,112.51704257815221,28.87180486185402,112.45244170845726,31,112.51704257815221,24.648935483870968,25.65993933034652,37.85816176616859
PSO_FCS:O1:5:I1:R6,R6-5L,F11,Multimodal,Optimum = 0,1.5661972864442588,2.2697191859910837,1.920751775876494,0.2032558556445124,1.9245977950268809,31,1.920751775876494,25.780161290322578,10.582099061278281,0.32536013719431933
PSO_FCS:O1:5:I1:R6,R6-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.637164765343467,3.496184716911945,-2.68286039569314,31,4.516034913714761,9.418612903225805,62.020268387506064,7.470339283365089
PSO_FCS:O1:5:I1:R6,R6-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-1.8375929714836874,-6.583102063964319,3.61741576991236,-5.128822796965456,31,3.8198385028543447,11.201580645161291,54.95001801223731,7.637043239039636
PSO_FCS:O1:5:I1:R6,R6-5L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-2.4217340272598484,-5.124224259220511,3.5653563884533046,-2.8711427052300413,31,5.412185557471536,15.848774193548387,69.57846120879302,8.109074616617917
PSO_FCS:O1:5:I1:R6,R6-5L,F5,Multimodal,Optimum = 0,1940.1633100307834,5485.307226695079,3041.9248046494704,799.402249578932,3125.063670384916,31,3041.9248046494704,25.75141935483871,26.279487525696727,1146.9053243026615
PSO_FCS:O1:5:I1:R7,R7-5L,F1,Unimodal,Optimum = 0,8356.766118782329,19474.41622727026,12549.923704602052,2316.3901180788093,12402.777157660186,31,12549.923704602052,24.973387096774193,18.45740398588551,2417.9498690917553
PSO_FCS:O1:5:I1:R7,R7-5L,F11,Multimodal,Optimum = 0,82.47484657636085,157.06379409132805,110.30456731720027,20.85736054360756,109.58921352953735,31,110.30456731720027,26.810290322580645,18.90888206254283,31.671504266097372
PSO_FCS:O1:5:I1:R7,R7-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.3099589476488855,3.4710897389468984,-2.68286039569314,31,4.8432407314093435,9.366451612903226,65.3694270175819,7.522728010647334
PSO_FCS:O1:5:I1:R7,R7-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.051439768832614,3.3858228032001008,-5.128822796965456,31,4.35150079798605,11.597451612903226,55.95069822290013,7.651007002917428
PSO_FCS:O1:5:I1:R7,R7-5L,F23,Fixed-dim,Optimum != 0,-10.53640981669205,-1.8594803012174992,-5.702141232131319,3.6990628240899976,-3.835426803208939,31,4.8342685845607285,16.378290322580643,64.87146974273347,7.729779095891543
PSO_FCS:O1:5:I1:R7,R7-5L,F5,Multimodal,Optimum = 0,1680083.209918967,7231841.766852318,3809287.6323937606,1485219.8159074308,3469759.3344972436,31,3809287.6323937606,24.87109677419355,38.98943737609326,1844741.9711427693
PSO_FCS:O1:5:I1:R8,R8-5L,F1,Unimodal,Optimum = 0,143.86987665806475,495.27900574238316,258.36152121743305,70.05820886747168,243.4632328573188,31,258.36152121743305,24.716193548387096,27.11634787461705,84.1421812351312
PSO_FCS:O1:5:I1:R8,R8-5L,F11,Multimodal,Optimum = 0,2.598853479796333,4.824103854382769,3.273195857135919,0.5393977090862556,3.204339469544534,31,3.273195857135919,26.136935483870968,16.4792371929199,0.813709642106482
PSO_FCS:O1:5:I1:R8,R8-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.150577148672155,3.3488323668801594,-2.68286039569314,31,5.002622530386074,9.221387096774194,65.0185847180933,7.47033928336509
PSO_FCS:O1:5:I1:R8,R8-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-5.4427201398547576,3.5002315270847935,-3.7243003465070004,31,4.960220426963906,11.104645161290323,64.31033448613435,7.637043239039636
PSO_FCS:O1:5:I1:R8,R8-5L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.6765532502392726,-5.205413111578548,3.567311217132397,-2.8711427052300413,31,5.330996705113498,15.778903225806452,68.53079939414464,7.91942685625473
PSO_FCS:O1:5:I1:R8,R8-5L,F5,Multimodal,Optimum = 0,6494.654015302956,15333.436709952617,10627.478309639644,2426.1140974195405,10988.352992198392,31,10627.478309639644,25.346451612903227,22.82869018155451,3527.92037371253
