id_experimento,MH,funcion,fitness,tiempoEjecucion,paramMH,display_name,rule_set,num_labels,category,optimo,optimum_group,optimum_group_label,gap_abs
72,PSO_FCS:O1:3:I1:R2,F1,8576.893439480897,26.813,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,8576.893439480897
73,PSO_FCS:O1:3:I1:R2,F1,13038.384939987911,26.403,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,13038.384939987911
74,PSO_FCS:O1:3:I1:R2,F1,8028.347787047523,26.916,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,8028.347787047523
75,PSO_FCS:O1:3:I1:R2,F1,12150.939628012182,26.532,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12150.939628012182
76,PSO_FCS:O1:3:I1:R2,F1,11620.168415071812,25.469,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11620.168415071812
77,PSO_FCS:O1:3:I1:R2,F1,12470.86546518473,24.768,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12470.86546518473
78,PSO_FCS:O1:3:I1:R2,F1,10813.667306362426,24.718,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10813.667306362426
79,PSO_FCS:O1:3:I1:R2,F1,10157.580953914245,23.879,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10157.580953914245
80,PSO_FCS:O1:3:I1:R2,F1,13386.500695406052,23.917,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,13386.500695406052
81,PSO_FCS:O1:3:I1:R2,F1,10122.892299298413,23.68,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10122.892299298413
82,PSO_FCS:O1:3:I1:R2,F1,12198.993041842483,24.234,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12198.993041842483
83,PSO_FCS:O1:3:I1:R2,F1,11266.452763575615,23.7,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11266.452763575615
84,PSO_FCS:O1:3:I1:R2,F1,11174.104112063553,23.856,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11174.104112063553
