Diversity,Progress,w_set_A,w_set_B,w_set_C,w_set_D,Activated_Rules
0.06,0.30,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300) | low AND mid -> low (0.001)
0.06,0.32,0.4181,0.4196,0.4525,0.3904,low AND early -> medium (0.300) | low AND mid -> low (0.100)
0.06,0.34,0.3760,0.3796,0.4211,0.3622,low AND early -> medium (0.300) | low AND mid -> low (0.200)
0.06,0.36,0.3299,0.3346,0.3789,0.3220,low AND mid -> low (0.300) | low AND early -> medium (0.200)
0.06,0.38,0.3003,0.3015,0.3475,0.2866,low AND mid -> low (0.300) | low AND early -> medium (0.100)
0.06,0.40,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300) | low AND early -> medium (0.001)
0.06,0.42,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.44,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.46,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.48,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.50,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.52,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.54,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.56,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.58,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300)
0.06,0.60,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300) | low AND late -> low (0.001)
0.06,0.62,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300) | low AND late -> low (0.100)
0.06,0.64,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300) | low AND late -> low (0.200)
0.06,0.66,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300) | low AND mid -> low (0.200)
0.06,0.68,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300) | low AND mid -> low (0.100)
0.06,0.70,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.72,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.74,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.76,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.78,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.80,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.82,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
